"Cycle 0:#010:C1s Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.197900e+03,1.826500e+03,,2.887800e+02,3.653000e+03
1.198000e+03,1.890910e+03,,2.886800e+02,3.781820e+03
1.198100e+03,1.870410e+03,,2.885800e+02,3.740820e+03
1.198200e+03,1.995870e+03,,2.884800e+02,3.991740e+03
1.198300e+03,2.004680e+03,,2.883800e+02,4.009360e+03
1.198400e+03,2.039080e+03,,2.882800e+02,4.078160e+03
1.198500e+03,2.060630e+03,,2.881800e+02,4.121260e+03
1.198600e+03,2.183070e+03,,2.880800e+02,4.366140e+03
1.198700e+03,2.184580e+03,,2.879800e+02,4.369160e+03
1.198800e+03,2.298460e+03,,2.878800e+02,4.596920e+03
1.198900e+03,2.357100e+03,,2.877800e+02,4.714200e+03
1.199000e+03,2.447580e+03,,2.876800e+02,4.895160e+03
1.199100e+03,2.524130e+03,,2.875800e+02,5.048260e+03
1.199200e+03,2.565690e+03,,2.874800e+02,5.131380e+03
1.199300e+03,2.618610e+03,,2.873800e+02,5.237220e+03
1.199400e+03,2.782650e+03,,2.872800e+02,5.565300e+03
1.199500e+03,2.813500e+03,,2.871800e+02,5.627000e+03
1.199600e+03,2.819040e+03,,2.870800e+02,5.638080e+03
1.199700e+03,2.913620e+03,,2.869800e+02,5.827240e+03
1.199800e+03,3.045710e+03,,2.868800e+02,6.091420e+03
1.199900e+03,3.103180e+03,,2.867800e+02,6.206360e+03
1.200000e+03,3.153290e+03,,2.866800e+02,6.306580e+03
1.200100e+03,3.093960e+03,,2.865800e+02,6.187920e+03
1.200200e+03,3.093160e+03,,2.864800e+02,6.186320e+03
1.200300e+03,3.140970e+03,,2.863800e+02,6.281940e+03
1.200400e+03,3.152470e+03,,2.862800e+02,6.304940e+03
1.200500e+03,3.164580e+03,,2.861800e+02,6.329160e+03
