"Cycle 0:#010:Si2p Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.385900e+03,3.564760e+02,,1.007800e+02,7.129520e+02
1.386000e+03,3.296690e+02,,1.006800e+02,6.593380e+02
1.386100e+03,3.310620e+02,,1.005800e+02,6.621240e+02
1.386200e+03,3.513780e+02,,1.004800e+02,7.027560e+02
1.386300e+03,2.979820e+02,,1.003800e+02,5.959640e+02
1.386400e+03,2.989180e+02,,1.002800e+02,5.978360e+02
1.386500e+03,3.004240e+02,,1.001800e+02,6.008480e+02
1.386600e+03,3.001790e+02,,1.000800e+02,6.003580e+02
1.386700e+03,3.031520e+02,,9.998000e+01,6.063040e+02
1.386800e+03,2.933170e+02,,9.988000e+01,5.866340e+02
1.386900e+03,3.160890e+02,,9.978000e+01,6.321780e+02
1.387000e+03,2.712310e+02,,9.968000e+01,5.424620e+02
1.387100e+03,2.774370e+02,,9.958000e+01,5.548740e+02
1.387200e+03,2.820120e+02,,9.948000e+01,5.640240e+02
1.387300e+03,3.048450e+02,,9.938000e+01,6.096900e+02
1.387400e+03,3.135060e+02,,9.928000e+01,6.270120e+02
1.387500e+03,2.648760e+02,,9.918000e+01,5.297520e+02
1.387600e+03,2.740660e+02,,9.908000e+01,5.481320e+02
1.387700e+03,2.702080e+02,,9.898000e+01,5.404160e+02
1.387800e+03,2.538280e+02,,9.888000e+01,5.076560e+02
1.387900e+03,2.804810e+02,,9.878000e+01,5.609620e+02
1.388000e+03,2.795710e+02,,9.868000e+01,5.591420e+02
1.388100e+03,2.478080e+02,,9.858000e+01,4.956160e+02
1.388200e+03,2.468360e+02,,9.848000e+01,4.936720e+02
1.388300e+03,2.732540e+02,,9.838000e+01,5.465080e+02
1.388400e+03,2.472060e+02,,9.828000e+01,4.944120e+02
1.388500e+03,2.510650e+02,,9.818000e+01,5.021300e+02
1.388600e+03,2.818630e+02,,9.808000e+01,5.637260e+02
1.388700e+03,2.682650e+02,,9.798000e+01,5.365300e+02
1.388800e+03,2.572550e+02,,9.788000e+01,5.145100e+02
1.388900e+03,2.773110e+02,,9.778000e+01,5.546220e+02
1.389000e+03,2.490870e+02,,9.768000e+01,4.981740e+02
1.389100e+03,2.787930e+02,,9.758000e+01,5.575860e+02
1.389200e+03,2.537450e+02,,9.748000e+01,5.074900e+02
1.389300e+03,2.990580e+02,,9.738000e+01,5.981160e+02
1.389400e+03,2.966620e+02,,9.728000e+01,5.933240e+02
1.389500e+03,2.643720e+02,,9.718000e+01,5.287440e+02
1.389600e+03,2.412720e+02,,9.708000e+01,4.825440e+02
1.389700e+03,2.431640e+02,,9.698000e+01,4.863280e+02
1.389800e+03,2.431560e+02,,9.688000e+01,4.863120e+02
1.389900e+03,2.403890e+02,,9.678000e+01,4.807780e+02
1.390000e+03,2.415930e+02,,9.668000e+01,4.831860e+02
1.390100e+03,2.411020e+02,,9.658000e+01,4.822040e+02
1.390200e+03,2.624210e+02,,9.648000e+01,5.248420e+02
1.390300e+03,2.434790e+02,,9.638000e+01,4.869580e+02
1.390400e+03,2.554550e+02,,9.628000e+01,5.109100e+02
1.390500e+03,2.619280e+02,,9.618000e+01,5.238560e+02
1.390600e+03,2.648640e+02,,9.608000e+01,5.297280e+02
1.390700e+03,2.844840e+02,,9.598000e+01,5.689680e+02
1.390800e+03,2.629040e+02,,9.588000e+01,5.258080e+02
1.390900e+03,2.676160e+02,,9.578000e+01,5.352320e+02
1.391000e+03,2.529940e+02,,9.568000e+01,5.059880e+02
1.391100e+03,2.607040e+02,,9.558000e+01,5.214080e+02
1.391200e+03,2.622560e+02,,9.548000e+01,5.245120e+02
1.391300e+03,2.419730e+02,,9.538000e+01,4.839460e+02
1.391400e+03,2.400710e+02,,9.528000e+01,4.801420e+02
1.391500e+03,2.528810e+02,,9.518000e+01,5.057620e+02
1.391600e+03,2.844910e+02,,9.508000e+01,5.689820e+02
