"Cycle 0:#010:O1s Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
9.509000e+02,8.079800e+03,,5.357800e+02,1.615960e+04
9.510000e+02,8.332460e+03,,5.356800e+02,1.666492e+04
9.511000e+02,8.396400e+03,,5.355800e+02,1.679280e+04
9.512000e+02,8.807700e+03,,5.354800e+02,1.761540e+04
9.513000e+02,8.978740e+03,,5.353800e+02,1.795748e+04
9.514000e+02,9.372000e+03,,5.352800e+02,1.874400e+04
9.515000e+02,9.605720e+03,,5.351800e+02,1.921144e+04
9.516000e+02,1.001290e+04,,5.350800e+02,2.002580e+04
9.517000e+02,1.064960e+04,,5.349800e+02,2.129920e+04
9.518000e+02,1.098860e+04,,5.348800e+02,2.197720e+04
9.519000e+02,1.149620e+04,,5.347800e+02,2.299240e+04
9.520000e+02,1.200530e+04,,5.346800e+02,2.401060e+04
9.521000e+02,1.311020e+04,,5.345800e+02,2.622040e+04
9.522000e+02,1.418920e+04,,5.344800e+02,2.837840e+04
9.523000e+02,1.517250e+04,,5.343800e+02,3.034500e+04
9.524000e+02,1.629600e+04,,5.342800e+02,3.259200e+04
9.525000e+02,1.794710e+04,,5.341800e+02,3.589420e+04
9.526000e+02,1.959690e+04,,5.340800e+02,3.919380e+04
9.527000e+02,2.135830e+04,,5.339800e+02,4.271660e+04
9.528000e+02,2.354530e+04,,5.338800e+02,4.709060e+04
9.529000e+02,2.580760e+04,,5.337800e+02,5.161520e+04
9.530000e+02,2.812840e+04,,5.336800e+02,5.625680e+04
9.531000e+02,3.016490e+04,,5.335800e+02,6.032980e+04
9.532000e+02,3.267120e+04,,5.334800e+02,6.534240e+04
9.533000e+02,3.465290e+04,,5.333800e+02,6.930580e+04
9.534000e+02,3.632390e+04,,5.332800e+02,7.264780e+04
9.535000e+02,3.811210e+04,,5.331800e+02,7.622420e+04
9.536000e+02,3.951160e+04,,5.330800e+02,7.902320e+04
9.537000e+02,4.001340e+04,,5.329800e+02,8.002680e+04
9.538000e+02,4.057010e+04,,5.328800e+02,8.114020e+04
9.539000e+02,4.050050e+04,,5.327800e+02,8.100100e+04
9.540000e+02,3.980090e+04,,5.326800e+02,7.960180e+04
9.541000e+02,3.819100e+04,,5.325800e+02,7.638200e+04
9.542000e+02,3.660960e+04,,5.324800e+02,7.321920e+04
9.543000e+02,3.441120e+04,,5.323800e+02,6.882240e+04
9.544000e+02,3.201270e+04,,5.322800e+02,6.402540e+04
9.545000e+02,2.931110e+04,,5.321800e+02,5.862220e+04
9.546000e+02,2.635430e+04,,5.320800e+02,5.270860e+04
9.547000e+02,2.383920e+04,,5.319800e+02,4.767840e+04
9.548000e+02,2.051310e+04,,5.318800e+02,4.102620e+04
9.549000e+02,1.796340e+04,,5.317800e+02,3.592680e+04
9.550000e+02,1.527670e+04,,5.316800e+02,3.055340e+04
9.551000e+02,1.319750e+04,,5.315800e+02,2.639500e+04
9.552000e+02,1.123970e+04,,5.314800e+02,2.247940e+04
9.553000e+02,9.452340e+03,,5.313800e+02,1.890468e+04
9.554000e+02,7.956970e+03,,5.312800e+02,1.591394e+04
9.555000e+02,6.771540e+03,,5.311800e+02,1.354308e+04
9.556000e+02,5.894150e+03,,5.310800e+02,1.178830e+04
9.557000e+02,5.111350e+03,,5.309800e+02,1.022270e+04
9.558000e+02,4.414900e+03,,5.308800e+02,8.829800e+03
9.559000e+02,3.811350e+03,,5.307800e+02,7.622700e+03
9.560000e+02,3.443790e+03,,5.306800e+02,6.887580e+03
9.561000e+02,3.161480e+03,,5.305800e+02,6.322960e+03
9.562000e+02,2.873080e+03,,5.304800e+02,5.746160e+03
9.563000e+02,2.635240e+03,,5.303800e+02,5.270480e+03
9.564000e+02,2.402500e+03,,5.302800e+02,4.805000e+03
9.565000e+02,2.281950e+03,,5.301800e+02,4.563900e+03
9.566000e+02,2.271070e+03,,5.300800e+02,4.542140e+03
9.567000e+02,2.179070e+03,,5.299800e+02,4.358140e+03
9.568000e+02,2.038030e+03,,5.298800e+02,4.076060e+03
9.569000e+02,1.958900e+03,,5.297800e+02,3.917800e+03
9.570000e+02,1.990860e+03,,5.296800e+02,3.981720e+03
9.571000e+02,1.958070e+03,,5.295800e+02,3.916140e+03
9.572000e+02,1.909170e+03,,5.294800e+02,3.818340e+03
9.573000e+02,1.792920e+03,,5.293800e+02,3.585840e+03
9.574000e+02,1.729130e+03,,5.292800e+02,3.458260e+03
9.575000e+02,1.755110e+03,,5.291800e+02,3.510220e+03
9.576000e+02,1.783250e+03,,5.290800e+02,3.566500e+03
9.577000e+02,1.704860e+03,,5.289800e+02,3.409720e+03
9.578000e+02,1.735990e+03,,5.288800e+02,3.471980e+03
9.579000e+02,1.746340e+03,,5.287800e+02,3.492680e+03
9.580000e+02,1.670260e+03,,5.286800e+02,3.340520e+03
9.581000e+02,1.658090e+03,,5.285800e+02,3.316180e+03
9.582000e+02,1.664480e+03,,5.284800e+02,3.328960e+03
9.583000e+02,1.659860e+03,,5.283800e+02,3.319720e+03
9.584000e+02,1.616830e+03,,5.282800e+02,3.233660e+03
9.585000e+02,1.631900e+03,,5.281800e+02,3.263800e+03
9.586000e+02,1.580780e+03,,5.280800e+02,3.161560e+03
9.587000e+02,1.588570e+03,,5.279800e+02,3.177140e+03
9.588000e+02,1.635000e+03,,5.278800e+02,3.270000e+03
9.589000e+02,1.660000e+03,,5.277800e+02,3.320000e+03
9.590000e+02,1.570570e+03,,5.276800e+02,3.141140e+03
9.591000e+02,1.504860e+03,,5.275800e+02,3.009720e+03
9.592000e+02,1.536550e+03,,5.274800e+02,3.073100e+03
9.593000e+02,1.550110e+03,,5.273800e+02,3.100220e+03
9.594000e+02,1.506600e+03,,5.272800e+02,3.013200e+03
9.595000e+02,1.520250e+03,,5.271800e+02,3.040500e+03
9.596000e+02,1.526010e+03,,5.270800e+02,3.052020e+03
9.597000e+02,1.584490e+03,,5.269800e+02,3.168980e+03
9.598000e+02,1.553330e+03,,5.268800e+02,3.106660e+03
9.599000e+02,1.499450e+03,,5.267800e+02,2.998900e+03
9.600000e+02,1.480940e+03,,5.266800e+02,2.961880e+03
9.601000e+02,1.551680e+03,,5.265800e+02,3.103360e+03
9.602000e+02,1.514730e+03,,5.264800e+02,3.029460e+03
9.603000e+02,1.474830e+03,,5.263800e+02,2.949660e+03
9.604000e+02,1.483000e+03,,5.262800e+02,2.966000e+03
9.605000e+02,1.506140e+03,,5.261800e+02,3.012280e+03
9.606000e+02,1.482820e+03,,5.260800e+02,2.965640e+03
9.607000e+02,1.484010e+03,,5.259800e+02,2.968020e+03
9.608000e+02,1.523160e+03,,5.258800e+02,3.046320e+03
9.609000e+02,1.514670e+03,,5.257800e+02,3.029340e+03
9.610000e+02,1.471610e+03,,5.256800e+02,2.943220e+03
9.611000e+02,1.396430e+03,,5.255800e+02,2.792860e+03
9.612000e+02,1.564080e+03,,5.254800e+02,3.128160e+03
9.613000e+02,1.481820e+03,,5.253800e+02,2.963640e+03
9.614000e+02,1.443380e+03,,5.252800e+02,2.886760e+03
9.615000e+02,1.497040e+03,,5.251800e+02,2.994080e+03
9.616000e+02,1.497680e+03,,5.250800e+02,2.995360e+03
