3475.96	41.6842
3474.68	58.8947
3473.41	48.6842
3472.13	75.5263
3470.85	75
3469.57	70.1053
3468.29	72.7368
3467.01	96.3158
3465.73	79.4737
3464.45	85.1053
3463.17	87.9474
3461.89	102.737
3460.61	92.8947
3459.33	97.8421
3458.05	84.3158
3456.76	95.1053
3455.48	105.421
3454.2	127.211
3452.92	122.947
3451.63	103.316
3450.35	134.684
3449.06	131.316
3447.78	138.579
3446.5	118.421
3445.21	145.368
3443.93	153.895
3442.64	141.895
3441.35	164.105
3440.07	156.842
3438.78	156.579
3437.49	169.421
3436.21	161
3434.92	185.316
3433.63	171.737
3432.34	166.105
3431.05	182.105
3429.76	187.579
3428.47	192.737
3427.18	201.211
3425.89	189.684
3424.6	198.263
3423.31	182.316
3422.02	209.789
3420.73	203.842
3419.44	209.947
3418.14	210.421
3416.85	207.947
3415.56	209.105
3414.27	213.105
3412.97	225.947
3411.68	233.105
3410.38	238.053
3409.09	211.421
3407.79	226.105
3406.5	230.211
3405.2	236.526
3403.91	232.632
3402.61	241.053
3401.31	224.737
3400.02	251.474
3398.72	237.263
3397.42	242.263
3396.12	270.737
3394.83	256.789
3393.53	266.053
3392.23	274.684
3390.93	276.947
3389.63	266.158
3388.33	269.421
3387.03	277.579
3385.73	282.211
3384.43	270.105
3383.13	284.526
3381.82	297
3380.52	293.632
3379.22	321.474
3377.92	316.421
3376.61	286.526
3375.31	302.789
3374.01	301.211
3372.7	296.158
3371.4	314.947
3370.09	297.737
3368.79	298.632
3367.48	322.947
3366.18	285.789
3364.87	313.316
3363.56	319.263
3362.26	327.263
3360.95	315.421
3359.64	318.842
3358.34	322.947
3357.03	330.579
3355.72	327.579
3354.41	314.316
3353.1	334.526
3351.79	328.105
3350.48	343.526
3349.17	339.421
3347.86	334
3346.55	345.368
3345.24	337.842
3343.93	340.947
3342.61	356.842
3341.3	355.632
3339.99	356.737
3338.68	356.211
3337.36	349.421
3336.05	364.105
3334.73	355.79
3333.42	381.842
3332.11	388.579
3330.79	385
3329.48	383.316
3328.16	373.947
3326.84	389.158
3325.53	388.737
3324.21	380.211
3322.89	395.579
3321.58	385.684
3320.26	392.632
3318.94	394.105
3317.62	405
3316.3	420.789
3314.98	402.053
3313.66	397.211
3312.34	412.158
3311.02	421.684
3309.7	392.211
3308.38	420.684
3307.06	420.632
3305.74	417.737
3304.42	401.053
3303.1	396.684
3301.77	423.842
3300.45	407.526
3299.13	420.368
3297.8	399.684
3296.48	420.632
3295.15	426.789
3293.83	429.526
3292.51	426.684
3291.18	423.632
3289.85	441.474
3288.53	419.474
3287.2	422.158
3285.88	443.105
3284.55	433.211
3283.22	452
3281.89	421.789
3280.57	457.053
3279.24	456.632
3277.91	453.105
3276.58	465.526
3275.25	482.737
3273.92	472.579
3272.59	483.053
3271.26	481.158
3269.93	490
3268.6	498.789
3267.26	495.579
3265.93	535.105
3264.6	512.316
3263.27	531.526
3261.94	551.842
3260.6	550.368
3259.27	559.526
3257.94	574.421
3256.6	581.105
3255.27	604.842
3253.93	608.368
3252.6	607.684
3251.26	617.474
3249.92	644.211
3248.59	649.895
3247.25	659.737
3245.91	669.474
3244.58	685.368
3243.24	695
3241.9	693.737
3240.56	713.684
3239.22	709.421
3237.88	713.263
3236.54	721.842
3235.2	739.895
3233.86	731.053
3232.52	738.421
3231.18	720.053
3229.84	747.789
3228.5	733.474
3227.16	748.053
3225.82	741.789
3224.47	754.474
3223.13	749.842
3221.79	765.632
3220.44	753.947
3219.1	754.947
3217.75	758.053
3216.41	765.737
3215.06	764.895
3213.72	774.842
3212.37	763.632
3211.03	751.79
3209.68	763.263
3208.33	786.842
3206.99	761.053
3205.64	778.263
3204.29	772.684
3202.94	777.947
3201.59	760.579
3200.25	776.105
3198.9	774.947
3197.55	770.947
3196.2	779.895
3194.85	778.158
3193.5	789
3192.14	788.842
3190.79	786.526
3189.44	793.526
3188.09	785
3186.74	773.368
3185.39	775.053
3184.03	775.263
3182.68	786.895
3181.32	766.737
3179.97	790.053
3178.62	784.842
3177.26	795.211
3175.91	776.947
3174.55	800.105
3173.19	782.632
3171.84	763.421
3170.48	775.368
3169.12	779.316
3167.77	785.053
3166.41	796.263
3165.05	762.368
3163.69	773.895
3162.33	786.263
3160.98	800.474
3159.62	784.211
3158.26	775.211
3156.9	772.105
3155.54	791.053
3154.18	766.632
3152.81	771.421
3151.45	761.263
3150.09	779.895
3148.73	767.631
3147.37	778.263
3146	760.368
3144.64	745.947
3143.28	783.526
3141.91	765.368
3140.55	764.684
3139.18	765.684
3137.82	766.474
3136.45	772.211
3135.09	767
3133.72	767.211
3132.35	764.421
3130.99	757.684
3129.62	759.369
3128.25	739.316
3126.88	738.579
3125.52	749.368
3124.15	718
3122.78	750.947
3121.41	734.895
3120.04	730.053
3118.67	736.579
3117.3	737.316
3115.93	717.789
3114.56	702.842
3113.19	726.684
3111.81	713.632
3110.44	720.684
3109.07	701.737
3107.7	695.632
3106.32	695.947
3104.95	703.368
3103.58	692.158
3102.2	668.632
3100.83	681.526
3099.45	662.526
3098.08	664.105
3096.7	643.842
3095.33	657.579
3093.95	653
3092.57	647.632
3091.2	641.211
3089.82	624.789
3088.44	649.263
3087.06	638.053
3085.68	633.737
3084.31	609.947
3082.93	615.421
3081.55	621.526
3080.17	604.421
3078.79	599.369
3077.41	586.053
3076.03	613
3074.64	574.105
3073.26	577.474
3071.88	590.368
3070.5	568.158
3069.11	557.053
3067.73	565.158
3066.35	550.579
3064.97	569.526
3063.58	529.053
3062.2	537.684
3060.81	547.526
