"Cycle 0:#010:XPS Survey"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,1.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
2.296000e+02,4.133240e+03,,1.257080e+03,4.133240e+04
2.306000e+02,4.011170e+03,,1.256080e+03,4.011170e+04
2.316000e+02,4.217480e+03,,1.255080e+03,4.217480e+04
2.326000e+02,4.137990e+03,,1.254080e+03,4.137990e+04
2.336000e+02,4.171640e+03,,1.253080e+03,4.171640e+04
2.346000e+02,4.124750e+03,,1.252080e+03,4.124750e+04
2.356000e+02,4.146400e+03,,1.251080e+03,4.146400e+04
2.366000e+02,4.314360e+03,,1.250080e+03,4.314360e+04
2.376000e+02,4.295500e+03,,1.249080e+03,4.295500e+04
2.386000e+02,4.254280e+03,,1.248080e+03,4.254280e+04
2.396000e+02,4.097080e+03,,1.247080e+03,4.097080e+04
2.406000e+02,4.228420e+03,,1.246080e+03,4.228420e+04
2.416000e+02,4.279060e+03,,1.245080e+03,4.279060e+04
2.426000e+02,4.210880e+03,,1.244080e+03,4.210880e+04
2.436000e+02,4.273040e+03,,1.243080e+03,4.273040e+04
2.446000e+02,4.254240e+03,,1.242080e+03,4.254240e+04
2.456000e+02,4.346720e+03,,1.241080e+03,4.346720e+04
2.466000e+02,4.367030e+03,,1.240080e+03,4.367030e+04
2.476000e+02,4.417940e+03,,1.239080e+03,4.417940e+04
2.486000e+02,4.264430e+03,,1.238080e+03,4.264430e+04
2.496000e+02,4.300200e+03,,1.237080e+03,4.300200e+04
2.506000e+02,4.494630e+03,,1.236080e+03,4.494630e+04
2.516000e+02,4.410180e+03,,1.235080e+03,4.410180e+04
2.526000e+02,4.393870e+03,,1.234080e+03,4.393870e+04
2.536000e+02,4.344080e+03,,1.233080e+03,4.344080e+04
2.546000e+02,4.479690e+03,,1.232080e+03,4.479690e+04
2.556000e+02,4.480140e+03,,1.231080e+03,4.480140e+04
2.566000e+02,4.595860e+03,,1.230080e+03,4.595860e+04
2.576000e+02,4.530600e+03,,1.229080e+03,4.530600e+04
2.586000e+02,4.557780e+03,,1.228080e+03,4.557780e+04
2.596000e+02,4.588030e+03,,1.227080e+03,4.588030e+04
2.606000e+02,4.606520e+03,,1.226080e+03,4.606520e+04
2.616000e+02,4.568370e+03,,1.225080e+03,4.568370e+04
2.626000e+02,4.412120e+03,,1.224080e+03,4.412120e+04
2.636000e+02,4.509740e+03,,1.223080e+03,4.509740e+04
2.646000e+02,4.481100e+03,,1.222080e+03,4.481100e+04
2.656000e+02,4.413940e+03,,1.221080e+03,4.413940e+04
2.666000e+02,4.281020e+03,,1.220080e+03,4.281020e+04
2.676000e+02,4.343150e+03,,1.219080e+03,4.343150e+04
2.686000e+02,4.206930e+03,,1.218080e+03,4.206930e+04
2.696000e+02,4.305870e+03,,1.217080e+03,4.305870e+04
2.706000e+02,4.350530e+03,,1.216080e+03,4.350530e+04
2.716000e+02,4.311120e+03,,1.215080e+03,4.311120e+04
2.726000e+02,4.241100e+03,,1.214080e+03,4.241100e+04
2.736000e+02,4.160190e+03,,1.213080e+03,4.160190e+04
2.746000e+02,4.362290e+03,,1.212080e+03,4.362290e+04
2.756000e+02,4.189600e+03,,1.211080e+03,4.189600e+04
2.766000e+02,4.364530e+03,,1.210080e+03,4.364530e+04
2.776000e+02,4.224120e+03,,1.209080e+03,4.224120e+04
2.786000e+02,4.211930e+03,,1.208080e+03,4.211930e+04
2.796000e+02,4.316370e+03,,1.207080e+03,4.316370e+04
2.806000e+02,4.238830e+03,,1.206080e+03,4.238830e+04
2.816000e+02,4.272850e+03,,1.205080e+03,4.272850e+04
2.826000e+02,4.322990e+03,,1.204080e+03,4.322990e+04
2.836000e+02,4.377180e+03,,1.203080e+03,4.377180e+04
2.846000e+02,4.268630e+03,,1.202080e+03,4.268630e+04
2.856000e+02,4.340860e+03,,1.201080e+03,4.340860e+04
2.866000e+02,4.309930e+03,,1.200080e+03,4.309930e+04
2.876000e+02,4.282470e+03,,1.199080e+03,4.282470e+04
2.886000e+02,4.220760e+03,,1.198080e+03,4.220760e+04
2.896000e+02,4.238190e+03,,1.197080e+03,4.238190e+04
2.906000e+02,4.286770e+03,,1.196080e+03,4.286770e+04
2.916000e+02,4.305080e+03,,1.195080e+03,4.305080e+04
2.926000e+02,4.289170e+03,,1.194080e+03,4.289170e+04
2.936000e+02,4.284030e+03,,1.193080e+03,4.284030e+04
2.946000e+02,4.482760e+03,,1.192080e+03,4.482760e+04
2.956000e+02,4.306340e+03,,1.191080e+03,4.306340e+04
2.966000e+02,4.513760e+03,,1.190080e+03,4.513760e+04
2.976000e+02,4.377280e+03,,1.189080e+03,4.377280e+04
2.986000e+02,4.379510e+03,,1.188080e+03,4.379510e+04
2.996000e+02,4.294940e+03,,1.187080e+03,4.294940e+04
3.006000e+02,4.505220e+03,,1.186080e+03,4.505220e+04
3.016000e+02,4.389120e+03,,1.185080e+03,4.389120e+04
3.026000e+02,4.562320e+03,,1.184080e+03,4.562320e+04
3.036000e+02,4.522200e+03,,1.183080e+03,4.522200e+04
3.046000e+02,4.443810e+03,,1.182080e+03,4.443810e+04
3.056000e+02,4.400030e+03,,1.181080e+03,4.400030e+04
3.066000e+02,4.477420e+03,,1.180080e+03,4.477420e+04
3.076000e+02,4.573610e+03,,1.179080e+03,4.573610e+04
3.086000e+02,4.444400e+03,,1.178080e+03,4.444400e+04
3.096000e+02,4.535600e+03,,1.177080e+03,4.535600e+04
3.106000e+02,4.648480e+03,,1.176080e+03,4.648480e+04
3.116000e+02,4.470870e+03,,1.175080e+03,4.470870e+04
3.126000e+02,4.613010e+03,,1.174080e+03,4.613010e+04
3.136000e+02,4.519760e+03,,1.173080e+03,4.519760e+04
3.146000e+02,4.493090e+03,,1.172080e+03,4.493090e+04
3.156000e+02,4.564040e+03,,1.171080e+03,4.564040e+04
3.166000e+02,4.538170e+03,,1.170080e+03,4.538170e+04
3.176000e+02,4.643880e+03,,1.169080e+03,4.643880e+04
3.186000e+02,4.654650e+03,,1.168080e+03,4.654650e+04
3.196000e+02,4.553710e+03,,1.167080e+03,4.553710e+04
3.206000e+02,4.600190e+03,,1.166080e+03,4.600190e+04
3.216000e+02,4.630890e+03,,1.165080e+03,4.630890e+04
3.226000e+02,4.647270e+03,,1.164080e+03,4.647270e+04
3.236000e+02,4.516170e+03,,1.163080e+03,4.516170e+04
3.246000e+02,4.597410e+03,,1.162080e+03,4.597410e+04
3.256000e+02,4.636680e+03,,1.161080e+03,4.636680e+04
3.266000e+02,4.651730e+03,,1.160080e+03,4.651730e+04
3.276000e+02,4.677090e+03,,1.159080e+03,4.677090e+04
3.286000e+02,4.724470e+03,,1.158080e+03,4.724470e+04
3.296000e+02,4.706020e+03,,1.157080e+03,4.706020e+04
3.306000e+02,4.634160e+03,,1.156080e+03,4.634160e+04
3.316000e+02,4.761330e+03,,1.155080e+03,4.761330e+04
3.326000e+02,4.616570e+03,,1.154080e+03,4.616570e+04
3.336000e+02,4.614590e+03,,1.153080e+03,4.614590e+04
3.346000e+02,4.875400e+03,,1.152080e+03,4.875400e+04
3.356000e+02,4.705840e+03,,1.151080e+03,4.705840e+04
3.366000e+02,4.728590e+03,,1.150080e+03,4.728590e+04
3.376000e+02,4.784990e+03,,1.149080e+03,4.784990e+04
3.386000e+02,4.746230e+03,,1.148080e+03,4.746230e+04
3.396000e+02,4.764700e+03,,1.147080e+03,4.764700e+04
3.406000e+02,4.788450e+03,,1.146080e+03,4.788450e+04
3.416000e+02,4.744780e+03,,1.145080e+03,4.744780e+04
3.426000e+02,4.729360e+03,,1.144080e+03,4.729360e+04
3.436000e+02,4.760470e+03,,1.143080e+03,4.760470e+04
3.446000e+02,4.810960e+03,,1.142080e+03,4.810960e+04
3.456000e+02,4.879740e+03,,1.141080e+03,4.879740e+04
3.466000e+02,4.791250e+03,,1.140080e+03,4.791250e+04
3.476000e+02,4.784380e+03,,1.139080e+03,4.784380e+04
3.486000e+02,4.739390e+03,,1.138080e+03,4.739390e+04
3.496000e+02,4.850550e+03,,1.137080e+03,4.850550e+04
3.506000e+02,4.757540e+03,,1.136080e+03,4.757540e+04
3.516000e+02,4.871660e+03,,1.135080e+03,4.871660e+04
3.526000e+02,4.857690e+03,,1.134080e+03,4.857690e+04
3.536000e+02,4.926780e+03,,1.133080e+03,4.926780e+04
3.546000e+02,4.820360e+03,,1.132080e+03,4.820360e+04
3.556000e+02,4.953140e+03,,1.131080e+03,4.953140e+04
3.566000e+02,4.910930e+03,,1.130080e+03,4.910930e+04
3.576000e+02,4.959190e+03,,1.129080e+03,4.959190e+04
3.586000e+02,4.956600e+03,,1.128080e+03,4.956600e+04
3.596000e+02,5.001140e+03,,1.127080e+03,5.001140e+04
3.606000e+02,4.927410e+03,,1.126080e+03,4.927410e+04
3.616000e+02,5.113860e+03,,1.125080e+03,5.113860e+04
3.626000e+02,5.010030e+03,,1.124080e+03,5.010030e+04
3.636000e+02,5.000000e+03,,1.123080e+03,5.000000e+04
3.646000e+02,4.907520e+03,,1.122080e+03,4.907520e+04
3.656000e+02,5.099700e+03,,1.121080e+03,5.099700e+04
3.666000e+02,4.984070e+03,,1.120080e+03,4.984070e+04
3.676000e+02,4.976630e+03,,1.119080e+03,4.976630e+04
3.686000e+02,5.008260e+03,,1.118080e+03,5.008260e+04
3.696000e+02,5.030010e+03,,1.117080e+03,5.030010e+04
3.706000e+02,5.003240e+03,,1.116080e+03,5.003240e+04
3.716000e+02,4.992970e+03,,1.115080e+03,4.992970e+04
3.726000e+02,4.994180e+03,,1.114080e+03,4.994180e+04
3.736000e+02,5.013840e+03,,1.113080e+03,5.013840e+04
3.746000e+02,5.109280e+03,,1.112080e+03,5.109280e+04
3.756000e+02,5.005000e+03,,1.111080e+03,5.005000e+04
3.766000e+02,5.021940e+03,,1.110080e+03,5.021940e+04
3.776000e+02,5.169710e+03,,1.109080e+03,5.169710e+04
3.786000e+02,5.082000e+03,,1.108080e+03,5.082000e+04
3.796000e+02,5.008080e+03,,1.107080e+03,5.008080e+04
3.806000e+02,5.074620e+03,,1.106080e+03,5.074620e+04
3.816000e+02,5.253120e+03,,1.105080e+03,5.253120e+04
3.826000e+02,5.111480e+03,,1.104080e+03,5.111480e+04
3.836000e+02,5.131470e+03,,1.103080e+03,5.131470e+04
3.846000e+02,5.201900e+03,,1.102080e+03,5.201900e+04
3.856000e+02,5.243400e+03,,1.101080e+03,5.243400e+04
3.866000e+02,5.123420e+03,,1.100080e+03,5.123420e+04
3.876000e+02,5.077920e+03,,1.099080e+03,5.077920e+04
3.886000e+02,5.152040e+03,,1.098080e+03,5.152040e+04
3.896000e+02,5.226800e+03,,1.097080e+03,5.226800e+04
3.906000e+02,5.320380e+03,,1.096080e+03,5.320380e+04
3.916000e+02,5.325380e+03,,1.095080e+03,5.325380e+04
3.926000e+02,5.313850e+03,,1.094080e+03,5.313850e+04
3.936000e+02,5.346340e+03,,1.093080e+03,5.346340e+04
3.946000e+02,5.335040e+03,,1.092080e+03,5.335040e+04
3.956000e+02,5.307880e+03,,1.091080e+03,5.307880e+04
3.966000e+02,5.366630e+03,,1.090080e+03,5.366630e+04
3.976000e+02,5.364880e+03,,1.089080e+03,5.364880e+04
3.986000e+02,5.391080e+03,,1.088080e+03,5.391080e+04
3.996000e+02,5.380390e+03,,1.087080e+03,5.380390e+04
4.006000e+02,5.281020e+03,,1.086080e+03,5.281020e+04
4.016000e+02,5.512840e+03,,1.085080e+03,5.512840e+04
4.026000e+02,5.387740e+03,,1.084080e+03,5.387740e+04
4.036000e+02,5.437950e+03,,1.083080e+03,5.437950e+04
4.046000e+02,5.477180e+03,,1.082080e+03,5.477180e+04
4.056000e+02,5.441560e+03,,1.081080e+03,5.441560e+04
4.066000e+02,5.467740e+03,,1.080080e+03,5.467740e+04
4.076000e+02,5.452460e+03,,1.079080e+03,5.452460e+04
4.086000e+02,5.484830e+03,,1.078080e+03,5.484830e+04
4.096000e+02,5.483860e+03,,1.077080e+03,5.483860e+04
4.106000e+02,5.494930e+03,,1.076080e+03,5.494930e+04
4.116000e+02,5.544440e+03,,1.075080e+03,5.544440e+04
4.126000e+02,5.575140e+03,,1.074080e+03,5.575140e+04
4.136000e+02,5.461300e+03,,1.073080e+03,5.461300e+04
4.146000e+02,5.449350e+03,,1.072080e+03,5.449350e+04
4.156000e+02,5.610880e+03,,1.071080e+03,5.610880e+04
4.166000e+02,5.691370e+03,,1.070080e+03,5.691370e+04
4.176000e+02,5.495110e+03,,1.069080e+03,5.495110e+04
4.186000e+02,5.657420e+03,,1.068080e+03,5.657420e+04
4.196000e+02,5.620180e+03,,1.067080e+03,5.620180e+04
4.206000e+02,5.566440e+03,,1.066080e+03,5.566440e+04
4.216000e+02,5.607790e+03,,1.065080e+03,5.607790e+04
4.226000e+02,5.700770e+03,,1.064080e+03,5.700770e+04
4.236000e+02,5.586510e+03,,1.063080e+03,5.586510e+04
4.246000e+02,5.737820e+03,,1.062080e+03,5.737820e+04
4.256000e+02,5.729420e+03,,1.061080e+03,5.729420e+04
4.266000e+02,5.615950e+03,,1.060080e+03,5.615950e+04
4.276000e+02,5.616660e+03,,1.059080e+03,5.616660e+04
4.286000e+02,5.719950e+03,,1.058080e+03,5.719950e+04
4.296000e+02,5.842470e+03,,1.057080e+03,5.842470e+04
4.306000e+02,5.757860e+03,,1.056080e+03,5.757860e+04
4.316000e+02,5.607830e+03,,1.055080e+03,5.607830e+04
4.326000e+02,5.894840e+03,,1.054080e+03,5.894840e+04
4.336000e+02,5.693350e+03,,1.053080e+03,5.693350e+04
4.346000e+02,5.918940e+03,,1.052080e+03,5.918940e+04
4.356000e+02,5.756110e+03,,1.051080e+03,5.756110e+04
